Recommendation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema.org - Google Dataset Discovery ,Resource Title,Abstract,Online Resource,Keyword,Author / Originator,Distribution Format,Resource Type,Resource Version,Temporal Extent,Spatial Extent,Resource Citation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECHO_Discovery,Resource Title,Resource Version,Publication Date,Metadata Modified Date,Resource Long Name,Resource Identifier,Abstract,Ordering Instructions,Resource Access Constraints,Processing Level,Resource Cost or Fees,Place Keyword,Temporal Keyword,Temporal Extent,Resource Contact,Keyword,Platform Keyword,Instrument Type,Sensor Characteristics,Related Resource Identifier,TwoDCoordinateSystem,Resource on-line Link,AssociatedDIFs,Spatial Extent,Distribution Contact,Additional Attributes,Browse File Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO-1_Access,Resource Title,Bounding Box,Abstract,Resource Creation Date,Metadata Contact,Resource Type,Coupled Resource,Coupled Type,Metadata Identifier,Resource Creation/Revision Date,Resource Identifier,Resource Contact,Topic Category,Service Location,Theme Keyword,Resource Use Constraints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDD_Use,Parameter Name (Standard),Standard Name Vocabulary,Units,Coverage Content Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERF_Access,Metadata Identifier,Resource Title,Keyword,Distribution Contact,Abstract,Purpose,Resource Citation,Resource Contact,Resource Title,Media,Resource Cost or Fees,Resource Format,Instrument Keyword,Platform Keyword,Project Keyword,Resource Quality Description,Resource Access Constraints,Resource Use Constraints,Distribution Contact,Service Location,Resource Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO_Lineage_Understanding,Lineage Statement,Lineage Scope,Process Step,Process Step Description,Process Step Purpose,Process Step Time,Processor,Process Step Reference,Process Step Scope,Source,Source Description,Source Reference System,Source Citation,Source Metadata,Source Scope,Source Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO_Quality_Understanding,Data Quality Scope,Standalone Report Citation,Report,Completeness Report,Logical Consistency,Positional Accuracy Report,Thematic Accuracy Report,Temporal Quality Report,Usability Report,Confidence,Representativity,Homogeneity,Measure,Measure Identifier,Measure Name,Measure Description,Evalulation Method,Evalulation Method Type,Evaluation Method Description,Evaluation Procedure,Evaluation Reference,Measure Time,Result,Conformance Result,Quantitative Result,Descriptive Result,Coverage Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO_Reference_Understanding,Parent Metadata Reference,Metadata Standard Citation,Metadata Profile Citation,Alternate Metadata Citation,Resource Citation,Additional Resource Documentation,Keyword Vocabulary Citation,Keyword Ontology Citation,Additional Usage Documentation,Identified Issues Citation,Related Resource Citation,Related Metadata Citation,Constraint Reference,Additional Lineage Documentation,Process Step Reference,Source Citation,Parameters Citation,Feature Catalogue Citation,Portrayal Catalogue Citation,Format Citation,Medium Reference,Application Schema Information,Service Operation Reference,Service Profile Reference,Service Standard Citation,Service Resource Reference,Evaluation Procedure,Evaluation Reference Document,Evaluation Specification,Standalone Report Citation,Measure Source Citation,Algorithm Citation,Processing Software Reference,Processing Citation,Instrument Citation,Operation Citation,Plan Citation,Platform Citation,Requirement Citation,,,,,,,,,,,,,,,,,,,,,,
ISO_UserFeedback_Understanding,Specific Usage,Usage Time,User Determined Limitations,User Contact,User Response,Additional Usage Documentation,Identified Issues Citation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDD_Discovery,Resource Title,Abstract,Keyword,Resource Identifier,Naming Authority,Keyword Vocabulary,Common Data Model Datatype,Lineage Statement,Supplemental Information,Resource Creation/Revision Date,Resource Contact,Author / Originator World Wide Web Address,Author / Originator Email Address,Originating Organization,Project Name,Processing Level,Acknowledgement,Bounding Box,Southernmost Latitude,Northernmost Latitude,Westernmost Longitude,Easternmost Longitude,Vertical Minimum,Vertical Maximum,Start Time,End Time,Temporal Extent,Temporal Resolution,Standard Name Vocabulary,Resource Access Constraints,Contributor Name,Contributor Role,Publisher,Publisher URL,Publisher E-Mail,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR-Collection,Metadata Dates,Resource Identifier,Resource Version,Resource Title,Abstract,Data Dates,Responsibility,Processing Level,Keyword,Related URL,Spatial Extent,Temporal Extent,Platform Short Name,Instrument Short Name,Project Name,Purpose,Resource Language,Resource Contact,Responsibility,Collection Data Type,Resource Citation,Resource Status,Quality Statement,Resource Use Constraints,Resource Access Constraints,Topic Category,Media,Distribution Format,Transfer Size,Resource Cost or Fees,Temporal Keyword,Spatial Representation,Place Keyword,Metadata Association,Publication Information,Ancillary Keyword,Additional Attributes,Paleo Temporal Coverage,TwoDCoordinateSystem,Sensor Short Name,,,,,,,,,,,,,,,,,,,,,
